NAME                              READY   STATUS    RESTARTS   AGE
purchase-5d97fb9b8c-hkkhs         0/1     Pending             0          0s
store-latest-fd59d8888-4kw9r      0/1     Pending             0          0s
registry-latest-ffc9b4bd4-f2hsc   0/1     Pending             0          0s
orders-66fdd7bd8c-xrr7g           0/1     Pending             0          0s
users-596646bb9c-lrqt4            0/1     Pending             0          0s
purchase-5d97fb9b8c-hkkhs         0/1     Pending             0          0s
store-latest-fd59d8888-4kw9r      0/1     Pending             0          0s
products-6d56579fc-h2p2c          0/1     Pending             0          0s
products-6d56579fc-h2p2c          0/1     Pending             0          0s
supply-78968f4c84-8jklz           0/1     Pending             0          0s
supply-78968f4c84-8jklz           0/1     Pending             0          0s
cart-mongo-8c74d75d4-8kmbj        0/1     Pending             0          0s
cart-mongo-8c74d75d4-8kmbj        0/1     Pending             0          0s
runtime-latest-6bc67fd44b-zlzqf   0/1     Pending             0          0s
runtime-latest-6bc67fd44b-zlzqf   0/1     Pending             0          0s
proxy-latest-6b8fb9ff67-lmllp     0/1     Pending             0          0s
proxy-latest-6b8fb9ff67-lmllp     0/1     Pending             0          0s
config-latest-6c4bd5d5bd-kvsg7    0/1     ContainerCreating   0          1s
orders-mongodb-57778486fd-wblh6   0/1     ContainerCreating   0          2s
ui-7bc6d569b-6mklk                0/1     ContainerCreating   0          2s
broker-latest-fd877b768-vk5ms     0/1     ContainerCreating   0          3s
api-latest-58d9d65655-hwwkn       0/1     ContainerCreating   0          3s
auth-latest-6d7cf54788-fdts7      0/1     ContainerCreating   0          4s
orders-66fdd7bd8c-xrr7g           0/1     ContainerCreating   0          4s
network-latest-8db575747-f65rz    0/1     ContainerCreating   0          4s
store-latest-fd59d8888-4kw9r      0/1     ContainerCreating   0          4s
products-6d56579fc-h2p2c          0/1     ContainerCreating   0          5s
products-mongo-6cc7b978c8-ld6ft   0/1     ContainerCreating   0          5s
users-postgres-0                  0/1     ContainerCreating   0          5s
events-latest-5fb699c7d4-wgbvs    0/1     ContainerCreating   0          6s
cart-mongo-8c74d75d4-8kmbj        0/1     ContainerCreating   0          6s
users-596646bb9c-lrqt4            0/1     ContainerCreating   0          7s
proxy-latest-6b8fb9ff67-lmllp     0/1     ContainerCreating   0          7s
registry-latest-ffc9b4bd4-f2hsc   0/1     ContainerCreating   0          8s
purchase-5d97fb9b8c-hkkhs         0/1     ContainerCreating   0          8s
config-latest-6c4bd5d5bd-kvsg7    0/1     Running             0          8s
supply-78968f4c84-8jklz           0/1     ContainerCreating   0          8s
cart-598b6cdc77-nmsdw             0/1     ContainerCreating   0          9s
